prompt_id,tier,family,lpips_cadence,lpips_gpt4o,lpips_gpt52
sheet__FoilTape,Simple,sheet,0.533892,0.136417,0.322873
sheet__MDF10,Simple,sheet,0.494057,0.286333,0.286333
sheet__MDF12,Simple,sheet,0.433384,0.280772,0.280772
sheet__MDF18,Simple,sheet,0.424600,0.272275,0.276964
sheet__MDF19,Simple,sheet,0.409543,0.269232,0.269232
sheet__MDF22,Simple,sheet,0.498161,0.263620,0.269276
sheet__MDF3,Simple,sheet,0.666041,0.358250,0.345015
sheet__MDF6,Simple,sheet,0.483102,0.297631,0.297631
sheet__PMMA10,Simple,sheet,0.446168,0.286333,0.286333
sheet__PMMA1p25,Simple,sheet,0.692470,0.343020,0.344609
sheet__PMMA2,Simple,sheet,0.670820,0.366264,0.367642
sheet__PMMA3,Simple,sheet,0.562444,0.344810,0.342836
sheet__PMMA6,Simple,sheet,0.557627,0.297631,0.297631
sheet__PMMA8,Simple,sheet,0.467392,0.287458,0.291408
sheet__Sellotape,Simple,sheet,0.502402,0.321115,0.282012
sheet__Silicone3,Simple,sheet,0.652502,0.344810,0.343481
sheet__Spring08,Simple,sheet,0.626713,0.355550,0.345720
sheet__Steel06,Simple,sheet,0.593808,0.273865,0.273751
sk_bracket__SK10,Medium,sk_bracket,0.426391,0.458273,0.380623
sk_bracket__SK12,Medium,sk_bracket,0.432300,0.411251,0.377944
sk_bracket__SK16,Medium,sk_bracket,0.441988,0.424636,0.400402
sk_bracket__SK8,Medium,sk_bracket,0.499843,0.425933,0.377096
smd__SOIC14,Medium,smd,0.441761,0.371439,0.371439
smd__SOIC16,Medium,smd,0.418578,0.353142,0.354184
smd__SOIC18,Medium,smd,0.441178,0.406170,0.413099
smd__SOIC8,Medium,smd,0.432256,0.408449,0.409212
smd__SOT223,Medium,smd,0.384921,0.359469,0.328774
smd__SOT23,Medium,smd,0.439780,0.369182,0.369182
smd__SOT23_6,Medium,smd,0.463192,0.420778,0.251289
smd__TSOT23_8,Medium,smd,0.441993,0.436405,0.265067
ssr__SSR10DA,Medium,ssr,0.497409,0.342085,0.408808
ssr__SSR25DA,Medium,ssr,0.439831,0.317158,0.358580
stepper_motor__NEMA14_36,Complex,stepper_motor,0.378125,0.364251,0.300655
stepper_motor__NEMA16_19,Complex,stepper_motor,0.397130,0.387114,0.349330
stepper_motor__NEMA17_27,Complex,stepper_motor,0.428846,0.411939,0.307278
stepper_motor__NEMA17_34,Complex,stepper_motor,0.383445,0.402001,
stepper_motor__NEMA17_40,Complex,stepper_motor,0.387223,0.440956,0.316579
stepper_motor__NEMA17_40L280,Complex,stepper_motor,0.500674,0.345152,0.271281
stepper_motor__NEMA17_47,Complex,stepper_motor,0.376029,0.420206,0.297636
stepper_motor__NEMA17_47L80,Complex,stepper_motor,0.408717,0.377589,0.268050
stepper_motor__NEMA23_51,Complex,stepper_motor,0.401442,0.410060,0.359265
stepper_motor__NEMA8_30,Complex,stepper_motor,0.417116,0.366941,0.352805
stepper_motor__NEMA8_30BH,Complex,stepper_motor,0.359309,0.290646,0.282653
swiss_clip__UKPFS1008_10,Medium,swiss_clip,0.457281,0.271782,
toggle__AP5236,Complex,toggle,0.330944,0.290644,0.161418
toggle__AP5236_pin,Complex,toggle,0.346439,0.133020,0.123673
toggle__CK7000_pin,Complex,toggle,0.301935,0.107084,0.145915
toggle__CK7000_tag,Complex,toggle,0.314958,0.132320,0.111444
toggle__CK7101,Complex,toggle,0.339927,0.234245,0.198857
toggle__CK7105,Complex,toggle,0.323238,0.216600,0.167660
toggle__MS332F,Complex,toggle,0.379780,0.307740,0.231528
toggle__MS332F_pin,Complex,toggle,0.355839,0.167583,0.126701
transformer__CCM300,Medium,transformer,0.475552,0.496663,0.500096
transformer__SMALLTX,Medium,transformer,0.429054,0.427951,0.309071
tubing__CARBONFIBER10,Medium,tubing,0.350722,0.406353,0.379986
tubing__HSHRNK100,Medium,tubing,,0.399126,0.393687
tubing__HSHRNK16,Medium,tubing,0.248768,0.103053,0.088700
tubing__HSHRNK24,Medium,tubing,0.233494,0.126935,0.134746
tubing__HSHRNK32,Medium,tubing,0.300902,0.186287,0.197387
tubing__HSHRNK64,Medium,tubing,0.400067,0.341459,0.342439
tubing__NEOP85,Medium,tubing,0.415838,0.362947,0.422343
tubing__PF7,Medium,tubing,0.294889,0.271338,0.271085
tubing__PTFE07,Medium,tubing,0.307087,0.055871,0.063748
tubing__PTFE20,Medium,tubing,0.225418,0.154048,0.170291
tubing__PTFE2_3,Medium,tubing,0.219457,0.197923,0.197757
tubing__PTFE2_4,Medium,tubing,0.257342,0.244899,0.253637
tubing__PTFE4_6,Medium,tubing,0.340552,0.328642,0.320546
tubing__PVC64,Medium,tubing,0.310875,0.301149,0.325665
tubing__PVC85,Medium,tubing,0.319371,0.358784,0.377478
tubing__STFE4_3p2_CLR,Medium,tubing,0.280811,0.176527,0.219239
tubing__STFE4_6p4_CLR,Medium,tubing,0.403967,0.314192,0.328636
variac__DURATRAKV5HM,Medium,variac,0.449032,0.373144,0.382268
variac__RAVISTAT1F1,Medium,variac,0.456524,0.364261,0.372774
washer__M2_washer,Simple,washer,0.305336,0.210123,0.212083
washer__M2p5_washer,Simple,washer,0.308259,0.215879,0.220737
washer__M3_penny_washer,Simple,washer,0.298498,0.213546,0.216342
washer__M3_rubber_washer,Simple,washer,0.268154,0.271990,0.273899
washer__M3_washer,Simple,washer,0.436674,0.212743,0.216253
washer__M3p5_washer,Simple,washer,0.305979,0.209316,0.212308
washer__M4_penny_washer,Simple,washer,0.301088,0.214035,0.216371
washer__M4_washer,Simple,washer,0.309005,0.216196,0.221087
washer__M5_penny_washer,Simple,washer,0.298850,0.215708,0.219273
washer__M5_washer,Simple,washer,0.312326,0.216837,0.222018
washer__M6_penny_washer,Simple,washer,0.298515,0.212993,0.215924
washer__M6_washer,Simple,washer,0.312393,0.224426,0.230838
washer__M8_penny_washer,Simple,washer,0.337957,0.211169,0.212405
washer__M8_washer,Simple,washer,0.307838,0.215839,0.221242
